word,Overall,A,B,C,D,A_Per,B_Per,C_Per,D_Per,Include?
pre,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
colored,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
definitely,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
buy,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
proposal,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
remove,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
grenwood,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
adjacency,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
reclaimed,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
costly,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
convorted,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
choice,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
extremely,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
6075,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
operators,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
upper,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
largest,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
like,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
o,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
consequently,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
municipal,1,1,0,0,0,0.12%,0.00%,0.00%,0.00%,N
90,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
office,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
estimated,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
20000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
35000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
against,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
30000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
topography,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
intermeidate,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
dyckman,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
207th,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
whose,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
cheif,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
assemblage,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
bricks,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
garage,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
6rms,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
sunporch,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
concerns,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
2000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
annual,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
20002400,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
murray,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
comparitively,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
inclusinf,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
jp,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
morgan,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
attacked,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
repeatedly,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
broken,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
encroaching,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
fifth,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
fronting,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
before,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
sty,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
brownstones,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
interior,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
occupy,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
fringes,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
lined,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
80th,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
seems,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
remodelled,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
fam,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
usage,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
declining,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
dept,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
requirements,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
ceilings,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
halls,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
fireretarded,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
100000,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
represwented,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
today,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
changed,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
indicative,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
excessive,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
cathedral,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
john,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
episcopal,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
dropping,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
abruptly,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
morningside,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
transportations,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
should,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
classified,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
slowly,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
advent,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
express,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
2200,1,0,1,0,0,0.00%,0.03%,0.00%,0.00%,N
christopher,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
greenwich,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
revamping,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
twenty,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
continue,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
bank,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
portions,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
witnessed,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
command,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
geratest,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
prohibition,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
era,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
speakeasies,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
commanded,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
sources,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
20s,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
whether,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
twice,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
levels,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
cheap,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
67,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
puposes,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
quoted,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
1200020000,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
highs,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
2040m,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
upward,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
static,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
quality,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,Y
obsolecence,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
22nd,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
survive,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
marketbale,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
closley,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
remain,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
generation,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
settlement,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
99th,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
apparently,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
spreading,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
145th,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
steadily,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
partly,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
influx,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
highbridge,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
89,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
southeastern,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
174th,1,0,0,1,0,0.00%,0.00%,0.02%,0.00%,N
exceot,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
arteries,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
division,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
rutgers,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
montgomery,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
jackson,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
southernmost,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
slums,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
inconceivable,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
get,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
worse,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,Y
minor,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
listed,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
miscellaneous,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
really,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
change,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
earlier,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
hordes,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,Y
immigrants,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,R
entering,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
nyc,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
losing,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
acquisitions,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
mortgages,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
surrendur,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
deedsrecent,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
provisions,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
multidwelling,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
entailing,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
prohibitive,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
costs,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
comply,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
therewith,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
accounted,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
equally,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
TRUE,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
1901,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
percentage,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
3035,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
cherry,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
monroe,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
site,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
knickerbocker,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
village,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
intended,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
tenants,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
groups,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
working,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
rehabilitate,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
material,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
success,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
concerted,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
action,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
accomodations,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
flat,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
44th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
55th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
combination,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
aptstores,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
exception,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
42nd,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
tudor,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
37th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
spread,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,Y
47th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
48th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
encreachment,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
circle,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
68th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
approach,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
allen,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
description,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
stories,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
easy,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
rivington,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
stanton,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
physically,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
offers,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
opportunity,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
extend,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
entire,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
length,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
williamsburg,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
involved,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
demoltion,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
aptsof,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
1224,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
w,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
spring,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
varick,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
probable,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
moderately,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
typical,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
shelter,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
thing,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
applies,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
facilitiesexcellent,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
transportationcontrol,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
consisting,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
almost,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
2025,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
store,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
combinations,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
515,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
75022,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
vary,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
upon,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
typo,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
likewise,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
conversions,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
numbering,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
210,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
operation,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
annum,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
compares,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
150,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
contain,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
week,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
saleable,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
1000020000,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
19th,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
theological,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
seminary,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
1425,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
nonconformity,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
c,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
plus,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
95,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
tenament,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
16,1,0,0,0,1,0.00%,0.00%,0.00%,0.03%,N
